import time: self [us] | cumulative | imported package
import time:       775 |        775 |                         charset_normalizer.models
import time:      1666 |      19388 |                       charset_normalizer.cd
import time:       894 |      20282 |                     charset_normalizer.api
import time:       509 |        509 |                     charset_normalizer.legacy
import time:       497 |        497 |                     charset_normalizer.version
import time:       994 |        994 |                     simplejson
import time:      1783 |      24063 |                   requests.compat
import time:      1668 |      25731 |                 requests.exceptions
import time:       193 |        193 |                 chardet
import time:      2145 |       2145 |                 requests.packages
import time:       579 |        579 |                       certifi.core
import time:       880 |       1458 |                     certifi
import time:       901 |       2358 |                   requests.certs
import time:       361 |        361 |                   requests.__version__
import time:       891 |        891 |                   requests._internal_utils
import time:      1189 |       1189 |                   requests.cookies
import time:      1865 |       1865 |                   requests.structures
import time:       503 |        503 |                       importlib.resources._itertools
import time:       979 |       1482 |                     importlib.resources.readers
import time:       667 |       2149 |                   importlib.readers
import time:      1572 |      10382 |                 requests.utils
import time:       827 |        827 |                       requests.auth
import time:       995 |        995 |                           stringprep
import time:      1154 |       2149 |                         encodings.idna
import time:       822 |        822 |                         requests.hooks
import time:      1220 |       1220 |                         requests.status_codes
import time:      1241 |       5430 |                       requests.models
import time:       455 |        455 |                         urllib3.contrib
import time:       215 |        215 |                         socks
import time:       752 |       1421 |                       urllib3.contrib.socks
import time:       762 |       8438 |                     requests.adapters
import time:       781 |       9219 |                   requests.sessions
import time:       513 |       9731 |                 requests.api
import time:       907 |     126186 |               requests
import time:       519 |        519 |                 google.auth._agent_identity_utils
import time:      1148 |       1667 |               google.auth.transport._mtls_helper
import time:       519 |        519 |               google.oauth2
import time:       381 |        381 |                 google.auth._constants
import time:      1583 |       1583 |                     google.auth.crypt.base
import time:      1118 |       1118 |                           cryptography.__about__
import time:       809 |       1926 |                         cryptography
import time:       424 |        424 |                             cryptography.hazmat
import time:      2630 |       3054 |                           cryptography.hazmat.bindings
import time:      6248 |       6248 |                           _cffi_backend
import time:     48396 |      57696 |                         cryptography.hazmat.bindings._rust
import time:       722 |      60343 |                       cryptography.exceptions
import time:       660 |        660 |                       cryptography.hazmat.backends
import time:       592 |        592 |                       cryptography.hazmat.primitives
import time:      1043 |       1043 |                         cryptography.utils
import time:      1152 |       2195 |                       cryptography.hazmat.primitives.hashes
import time:      1428 |       1428 |                         cryptography.hazmat.primitives._serialization
import time:       571 |        571 |                         cryptography.hazmat.primitives.serialization.base
import time:       473 |        473 |                           cryptography.hazmat.primitives.asymmetric
import time:       654 |        654 |                             cryptography.hazmat.primitives.asymmetric.utils
import time:      1091 |       1744 |                           cryptography.hazmat.primitives.asymmetric.dsa
import time:      1308 |       1308 |                             cryptography.hazmat._oid
import time:      1385 |       2693 |                           cryptography.hazmat.primitives.asymmetric.ec
import time:       566 |        566 |                           cryptography.hazmat.primitives.asymmetric.ed25519
import time:       534 |        534 |                             cryptography.hazmat.primitives._asymmetric
import time:       798 |        798 |                             cryptography.hazmat.primitives.asymmetric.rsa
import time:       784 |       2116 |                           cryptography.hazmat.primitives.asymmetric.padding
import time:       370 |        370 |                             cryptography.hazmat.primitives._cipheralgorithm
import time:       392 |        392 |                                       cryptography.hazmat.decrepit
import time:       581 |        972 |                                     cryptography.hazmat.decrepit.ciphers
import time:       732 |       1703 |                                   cryptography.hazmat.decrepit.ciphers.algorithms
import time:      2089 |       3792 |                                 cryptography.hazmat.primitives.ciphers.algorithms
import time:      2792 |       6584 |                               cryptography.hazmat.primitives.ciphers.modes
import time:      2516 |       9099 |                             cryptography.hazmat.primitives.ciphers.base
import time:       367 |       9835 |                           cryptography.hazmat.primitives.ciphers
import time:       215 |        215 |                           bcrypt
import time:      3738 |      21378 |                         cryptography.hazmat.primitives.serialization.ssh
import time:       631 |      24006 |                       cryptography.hazmat.primitives.serialization
import time:      1027 |       1027 |                         cryptography.x509.certificate_transparency
import time:       399 |        399 |                               cryptography.x509.oid
import time:     17847 |      18245 |                             cryptography.x509.name
import time:      1511 |      19756 |                           cryptography.x509.general_name
import time:       552 |      20307 |                         cryptography.x509.verification
import time:       517 |        517 |                           cryptography.hazmat.primitives.asymmetric.ed448
import time:       725 |        725 |                           cryptography.hazmat.primitives.asymmetric.x448
import time:       405 |        405 |                           cryptography.hazmat.primitives.asymmetric.x25519
import time:       546 |        546 |                             cryptography.hazmat.primitives.asymmetric.dh
import time:       511 |       1057 |                           cryptography.hazmat.primitives.asymmetric.types
